AACSL	empty	AACSP1 (Acetoacetyl-CoA Synthetase Pseudogene 1) is a Pseudogene.	empty	diff
C7orf58	empty	CPED1 (Cadherin-Like And PC-Esterase Domain Containing 1) is a Protein Coding gene.	empty	diff
C7orf55	empty	C7orf55 (Chromosome 7 Open Reading Frame 55) is a Protein Coding gene. Diseases associated with C7orf55 include intrahepatic cholangiocarcinoma.	empty	same
C7orf59	empty	LAMTOR4 (Late Endosomal/Lysosomal Adaptor, MAPK And MTOR Activator 4) is a Protein Coding gene. Among its related pathways are PI3K / Akt Signaling. GO annotations related to this gene include guanyl-nucleotide exchange factor activity and protein complex scaffold.	As part of the Ragulator complex it is involved in amino acid sensing and activation of mTORC1, a signaling complex promoting cell growth in response to growth factors, energy levels, and amino acids. Activated by amino acids through a mechanism involving the lysosomal V-ATPase, the Ragulator functions as a guanine nucleotide exchange factor activating the small GTPases Rag. Activated Ragulator and Rag GTPases function as a scaffold recruiting mTORC1 to lysosomes where it is in turn activated.	diff
C7orf60	empty	C7orf60 (Chromosome 7 Open Reading Frame 60) is a Protein Coding gene. GO annotations related to this gene include methyltransferase activity.	Probable S-adenosyl-L-methionine-dependent methyltransferase.	same
C7orf65	empty	C7orf65 (Chromosome 7 Open Reading Frame 65) is a Protein Coding gene.	empty	same
C7orf63	empty	CFAP69 (Cilia And Flagella Associated Protein 69) is a Protein Coding gene.	empty	diff
C7orf61	empty	C7orf61 (Chromosome 7 Open Reading Frame 61) is a Protein Coding gene.	empty	same
C7orf49	empty	C7orf49 (Chromosome 7 Open Reading Frame 49) is a Protein Coding gene. Diseases associated with C7orf49 include post-traumatic stress disorder and colorectal cancer.	May act as a regulator of proteasome.	same
C7orf64	empty	RBM48 (RNA Binding Motif Protein 48) is a Protein Coding gene. GO annotations related to this gene include RNA binding.	empty	diff
C7orf70	empty	FAM220A (Family With Sequence Similarity 220, Member A) is a Protein Coding gene.	May negatively regulate STAT3.	diff
C7orf66	empty	C7orf66 (Chromosome 7 Open Reading Frame 66) is a Protein Coding gene.	empty	same
C7orf69	empty	C7orf69 (Chromosome 7 Open Reading Frame 69) is a Protein Coding gene.	empty	same
C7orf68	empty	HILPDA (Hypoxia Inducible Lipid Droplet-Associated) is a Protein Coding gene. Diseases associated with HILPDA include end stage renal failure and hypoxia. GO annotations related to this gene include receptor binding.	Increases intracellular lipid accumulation. Stimulates expression of cytokines including IL6, MIF and VEGFA. Enhances cell growth and proliferation.	diff
C7orf71	empty	C7orf71 (Chromosome 7 Open Reading Frame 71) is a Protein Coding gene.	empty	same
C7orf72	empty	C7orf72 (Chromosome 7 Open Reading Frame 72) is a Protein Coding gene.	empty	same
C8orf12	empty	FAM167A-AS1 (FAM167A Antisense RNA 1) is an RNA Gene, and is affiliated with the non-coding RNA class.	empty	diff
C8B	This gene encodes one of the three subunits of the complement component 8 (C8) protein. C8 is composed of equimolar amounts of alpha, beta and gamma subunits, which are encoded by three separate genes. C8 is one component of the membrane attack complex, which mediates cell lysis, and it initiates membrane penetration of the complex. This protein mediates the interaction of C8 with the C5b-7 membrane attack complex precursor. In humans deficiency of this protein is associated with increased risk of meningococcal infections. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2013]	C8B (Complement Component 8, Beta Polypeptide) is a Protein Coding gene. Diseases associated with C8B include c8 deficiency, type ii and immunodeficiency due to a late component of complements deficiency. Among its related pathways are Complement and coagulation cascades and Amoebiasis. GO annotations related to this gene include protein complex binding. An important paralog of this gene is C6.	Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells	same
C7	C7 is a component of the complement system. It participates in the formation of Membrane Attack Complex (MAC). People with C7 deficiency are prone to bacterial infection. [provided by RefSeq, Jul 2008]	C7 (Complement Component 7) is a Protein Coding gene. Diseases associated with C7 include c7 deficiency and immunodeficiency due to a late component of complements deficiency. Among its related pathways are Complement and coagulation cascades and Complement and coagulation cascades. An important paralog of this gene is C6.	Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C7 serves as a membrane anchor	same
C8orf30A	empty	HGH1 (HGH1 Homolog (S. Cerevisiae)) is a Protein Coding gene.	empty	diff
C8orf22	empty	C8orf22 (Chromosome 8 Open Reading Frame 22) is a Protein Coding gene.	empty	same
C7orf47	empty	PPP1R35 (Protein Phosphatase 1, Regulatory Subunit 35) is a Protein Coding gene. GO annotations related to this gene include phosphatase binding and protein phosphatase inhibitor activity.	Inhibits PPP1CA phosphatase activity.	diff
C8orf31	empty	C8orf31 (Chromosome 8 Open Reading Frame 31) is a Protein Coding gene.	empty	same
C8orf34	empty	C8orf34 (Chromosome 8 Open Reading Frame 34) is a Protein Coding gene. GO annotations related to this gene include cAMP-dependent protein kinase regulator activity.	empty	same
C8orf38	This gene encodes a protein that localizes to mitochondria and contains a predicted phytoene synthase domain. The encoded protein plays an important role in the assembly of complex I (NADH-ubiquinone oxidoreductase) of the mitochondrial respiratory chain through regulation of subunit ND1 biogenesis. Mutations in this gene are associated with complex I enzymatic deficiency. [provided by RefSeq, Nov 2011]	NDUFAF6 (NADH Dehydrogenase (Ubiquinone) Complex I, Assembly Factor 6) is a Protein Coding gene. Diseases associated with NDUFAF6 include leigh syndrome with leukodystrophy and leigh syndrome. GO annotations related to this gene include transferase activity.	Involved in the assembly of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I) at early stages. May play a role in the biogenesis of MT-ND1.	diff
C8orf39	empty	RBM12B-AS1 (RBM12B Antisense RNA 1) is an RNA Gene, and is affiliated with the non-coding RNA class.	empty	diff
C8orf33	empty	C8orf33 (Chromosome 8 Open Reading Frame 33) is a Protein Coding gene.	empty	same
C8G	The protein encoded by this gene belongs to the lipocalin family. It is one of the three subunits that constitutes complement component 8 (C8), which is composed of a disulfide-linked C8 alpha-gamma heterodimer and a non-covalently associated C8 beta chain. C8 participates in the formation of the membrane attack complex (MAC) on bacterial cell membranes. While subunits alpha and beta play a role in complement-mediated bacterial killing, the gamma subunit is not required for the bactericidal activity. [provided by RefSeq, Jul 2011]	C8G (Complement Component 8, Gamma Polypeptide) is a Protein Coding gene. Diseases associated with C8G include acute salpingitis and salpingo-oophoritis. Among its related pathways are Complement and coagulation cascades and Complement and coagulation cascades. GO annotations related to this gene include protein complex binding and complement binding.	C8 is a constituent of the membrane attack complex. C8 binds to the C5B-7 complex, forming the C5B-8 complex. C5-B8 binds C9 and acts as a catalyst in the polymerization of C9. The gamma subunit seems to be able to bind retinol	same
C8orf44	empty	C8orf44 (Chromosome 8 Open Reading Frame 44) is a Protein Coding gene.	empty	same
C8orf41	This gene encodes a regulator of the DNA damage response. The protein is a component of the Triple T complex (TTT) which also includes telomere length regulation protein and TELO2 interacting protein 1. The TTT complex is involved in cellular resistance to DNA damage stresses and may act as a regulator of phosphoinositide-3-kinase-related protein kinase (PIKK) abundance. [provided by RefSeq, May 2013]	TTI2 (TELO2 Interacting Protein 2) is a Protein Coding gene. Diseases associated with TTI2 include mental retardation, autosomal recessive 39 and severe intellectual disability-short stature-behavioral troubles-facial dysmorphism syndrome.	Regulator of the DNA damage response (DDR). Part of the TTT complex that is required to stabilize protein levels of the phosphatidylinositol 3-kinase-related protein kinase (PIKK) family proteins. The TTT complex is involved in the cellular resistance to DNA damage stresses, like ionizing radiation (IR), ultraviolet (UV) and mitomycin C (MMC). Together with the TTT complex and HSP90 may participate in the proper folding of newly synthesized PIKKs.	diff
C8orf37	This gene encodes a ubiquitously expressed protein of unknown function. It has high levels of mRNA expression in the brain, heart, and retina and the protein co-localizes with polyglutamylated tubulin at the base of the primary cilium in human retinal pigment epithelial cells. Mutations in this gene have been associated with autosomal recessive cone-rod dystrophy (arCRD) and retinitis pigmentosa (arRP). [provided by RefSeq, Mar 2012]	C8orf37 (Chromosome 8 Open Reading Frame 37) is a Protein Coding gene. Diseases associated with C8orf37 include cone-rod dystrophy 16 and c8orf37-related retinitis pigmentosa.	empty	same
C8orf45	empty	MCMDC2 (Minichromosome Maintenance Domain Containing 2) is a Protein Coding gene.	empty	diff
C8A	C8 is a component of the complement system and contains three polypeptides, alpha, beta and gamma. This gene encodes the alpha subunit of C8. C8 participates in the formation of the membrane attack complex (MAC). The MAC assembles on bacterial membranes to form a pore, permitting disruption of bacterial membrane organization. Mutations in this gene cause complement C8 alpha-gamma deficiency. [provided by RefSeq, Nov 2008]	C8A (Complement Component 8, Alpha Polypeptide) is a Protein Coding gene. Diseases associated with C8A include c8 deficiency, type i and immunodeficiency due to a late component of complements deficiency. Among its related pathways are Complement and coagulation cascades and Amoebiasis. An important paralog of this gene is C6.	Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C8A inserts into the target membrane, but does not form pores by itself.	same
C8orf47	empty	ERICH5 (Glutamate-Rich 5) is a Protein Coding gene.	empty	diff
C8ORFK29	empty	TMEM249 (Transmembrane Protein 249) is a Protein Coding gene.	empty	diff
C8orf48	empty	C8orf48 (Chromosome 8 Open Reading Frame 48) is a Protein Coding gene.	empty	same
C8orf58	empty	C8orf58 (Chromosome 8 Open Reading Frame 58) is a Protein Coding gene. An important paralog of this gene is ENSG00000248235.	empty	same
C8orf56	empty	BAALC-AS2 (BAALC Antisense RNA 2) is an RNA Gene, and is affiliated with the non-coding RNA class.	empty	diff
C8orf55	empty	THEM6 (Thioesterase Superfamily Member 6) is a Protein Coding gene.	empty	diff
C8orf46	empty	C8orf46 (Chromosome 8 Open Reading Frame 46) is a Protein Coding gene.	empty	same
C8orf59	empty	C8orf59 (Chromosome 8 Open Reading Frame 59) is a Protein Coding gene.	empty	same
C8orf71	empty	LINC00588 (Long Intergenic Non-Protein Coding RNA 588) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C8orf75	empty	LINC00589 (Long Intergenic Non-Protein Coding RNA 589) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C8orf74	empty	C8orf74 (Chromosome 8 Open Reading Frame 74) is a Protein Coding gene.	empty	same
C8orf73	empty	MROH6 (Maestro Heat-Like Repeat Family Member 6) is a Protein Coding gene. An important paralog of this gene is MROH7-TTC4.	empty	diff
C8orf42	empty	TDRP (Testis Development Related Protein) is a Protein Coding gene.	empty	diff
C8orf40	empty	SMIM19 (Small Integral Membrane Protein 19) is a Protein Coding gene.	empty	diff
C8orf76	empty	C8orf76 (Chromosome 8 Open Reading Frame 76) is a Protein Coding gene. An important paralog of this gene is ZHX1-C8orf76.	empty	same
C8orf77	empty	ZNF252P-AS1 (ZNF252P Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C8orf79	empty	KIAA1456 (KIAA1456) is a Protein Coding gene. GO annotations related to this gene include methyltransferase activity. An important paralog of this gene is ALKBH8.	May modifie wobble uridines in specific arginine and glutamic acid tRNAs. Acts as a tumor suppressor by promoting the expression of LIN9.	diff
C8orf51	empty	RHPN1-AS1 (RHPN1 Antisense RNA 1 (Head To Head)) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C8orf80	empty	NUGGC (Nuclear GTPase, Germinal Center Associated) is a Protein Coding gene. GO annotations related to this gene include GTP binding and GTPase activity.	Plays a role as replication-related GTPase protein in germinal center B-cell.	diff
C8orf83	empty	TRIQK (Triple QxxK/R Motif Containing) is a Protein Coding gene.	May play a role in cell growth and maintenance of cell morphology.	diff
C8orf85	empty	AARD (Alanine And Arginine Rich Domain Containing Protein) is a Protein Coding gene.	empty	diff
C8orf86	empty	C8orf86 (Chromosome 8 Open Reading Frame 86) is a Protein Coding gene.	empty	same
C9orf100	empty	ARHGEF39 (Rho Guanine Nucleotide Exchange Factor (GEF) 39) is a Protein Coding gene. GO annotations related to this gene include phospholipid binding and Rho guanyl-nucleotide exchange factor activity.	Promotes cell proliferation.	diff
C8orf84	empty	SBSPON (Somatomedin B And Thrombospondin, Type 1 Domain Containing) is a Protein Coding gene. GO annotations related to this gene include scavenger receptor activity and polysaccharide binding.	empty	diff
C9orf109	empty	FAM225A (Family With Sequence Similarity 225, Member A (Non-Protein Coding)) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C9orf106	empty	C9orf106 (Chromosome 9 Open Reading Frame 106) is a Protein Coding gene.	empty	same
C9orf103	empty	IDNK (IdnK, Gluconokinase Homolog (E. Coli)) is a Protein Coding gene. GO annotations related to this gene include gluconokinase activity.	empty	diff
C9orf110	empty	FAM225B (Family With Sequence Similarity 225, Member B (Non-Protein Coding)) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C9orf116	empty	C9orf116 (Chromosome 9 Open Reading Frame 116) is a Protein Coding gene.	empty	same
C9orf114	empty	C9orf114 (Chromosome 9 Open Reading Frame 114) is a Protein Coding gene.	Required both for chromosome alignment and for association of the centrosomes with the poles of the bipolar spindle during metaphase.	same
C9orf11	empty	EQTN (Equatorin, Sperm Acrosome Associated) is a Protein Coding gene.	Acrosomal membrane-anchored protein involved in the process of fertilization and in acrosome biogenesis.	diff
C9orf119	empty	SWI5 (SWI5 Recombination Repair Homolog (Yeast)) is a Protein Coding gene.	Component of the SWI5-SFR1 complex, a complex required for double-strand break repair via homologous recombination.	diff
C9orf122	empty	FAM201A (Family With Sequence Similarity 201, Member A) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C8orf4	This gene encodes a small, monomeric, predominantly unstructured protein that functions as a positive regulator of the Wnt/beta-catenin signaling pathway. This protein interacts with a repressor of beta-catenin mediated transcription at nuclear speckles. It is thought to competitively block interactions of the repressor with beta-catenin, resulting in up-regulation of beta-catenin target genes. The encoded protein may also play a role in the NF-kappaB and ERK1/2 signaling pathways. Expression of this gene may play a role in the proliferation of several types of cancer including thyroid cancer, breast cancer and hematological malignancies. [provided by RefSeq, Nov 2011]	C8orf4 (Chromosome 8 Open Reading Frame 4) is a Protein Coding gene. Diseases associated with C8orf4 include thyroid cancer and breast cancer.	May decrease apoptosis.	same
C9orf117	empty	C9orf117 (Chromosome 9 Open Reading Frame 117) is a Protein Coding gene.	empty	same
C9orf102	This gene encodes a member of the Snf2 family of helicase-like proteins. The encoded protein may play a role in DNA repair and mitochondrial function. Mutations in this gene have been associated with bone marrow failure syndrome 2. Alternatively spliced transcript variants that encode different protein isoforms have been described. [provided by RefSeq, Apr 2014]	ERCC6L2 (Excision Repair Cross-Complementation Group 6-Like 2) is a Protein Coding gene. Diseases associated with ERCC6L2 include bone marrow failure syndrome 2 and pancytopenia-developmental delay syndrome. GO annotations related to this gene include ATP-dependent helicase activity. An important paralog of this gene is ERCC6.	May be involved in early DNA damage response.	diff
C9orf130	empty	LINC00476 (Long Intergenic Non-Protein Coding RNA 476) is an RNA Gene, and is affiliated with the processed_transcript RNA class. Diseases associated with LINC00476 include nasopharyngeal carcinoma.	empty	diff
C9orf131	empty	C9orf131 (Chromosome 9 Open Reading Frame 131) is a Protein Coding gene.	empty	same
C9orf123	empty	TMEM261 (Transmembrane Protein 261) is a Protein Coding gene.	empty	diff
C9orf129	empty	C9orf129 (Chromosome 9 Open Reading Frame 129) is a Protein Coding gene.	empty	same
C9orf125	empty	TMEM246 (Transmembrane Protein 246) is a Protein Coding gene.	empty	diff
C9orf139	empty	C9orf139 (Chromosome 9 Open Reading Frame 139) is a Protein Coding gene.	empty	same
C9orf135	empty	C9orf135 (Chromosome 9 Open Reading Frame 135) is a Protein Coding gene.	empty	same
C9orf142	empty	C9orf142 (Chromosome 9 Open Reading Frame 142) is a Protein Coding gene.	Involved in DNA non-homologous end joining (NHEJ). May act as a scaffold required to stabilize the Ku heterodimer, composed of XRCC5/Ku80 and XRCC6/Ku70, at DNA ends and thus promote assembly and/or stability of the NHEJ machinery at double-strand break (DSB) sites.	same
C9orf144	empty	FAM205BP (Family With Sequence Similarity 205, Member B, Pseudogene) is a Pseudogene.	empty	diff
C9orf152	empty	C9orf152 (Chromosome 9 Open Reading Frame 152) is a Protein Coding gene.	empty	same
C9orf144B	empty	FAM205A (Family With Sequence Similarity 205, Member A) is a Protein Coding gene.	empty	diff
C9orf140	empty	SAPCD2 (Suppressor APC Domain Containing 2) is a Protein Coding gene.	empty	diff
C9orf150	empty	LURAP1L (Leucine Rich Adaptor Protein 1-Like) is a Protein Coding gene. An important paralog of this gene is LURAP1.	empty	diff
C9orf153	empty	C9orf153 (Chromosome 9 Open Reading Frame 153) is a Protein Coding gene.	empty	same
C9orf163	empty	C9orf163 (Chromosome 9 Open Reading Frame 163) is a Protein Coding gene.	empty	same
C9orf128	empty	FAM221B (Family With Sequence Similarity 221, Member B) is a Protein Coding gene. Diseases associated with FAM221B include cartilage-hair hypoplasia.	empty	diff
C9orf169	empty	CYSRT1 (Cysteine-Rich Tail Protein 1) is a Protein Coding gene.	empty	diff
C9orf170	empty	C9orf170 (Chromosome 9 Open Reading Frame 170) is a Protein Coding gene.	empty	same
C9orf16	empty	C9orf16 (Chromosome 9 Open Reading Frame 16) is a Protein Coding gene.	empty	same
C9orf167	empty	TOR4A (Torsin Family 4, Member A) is a Protein Coding gene. GO annotations related to this gene include nucleoside-triphosphatase activity. An important paralog of this gene is TOR2A.	empty	diff
C9orf172	empty	C9orf172 (Chromosome 9 Open Reading Frame 172) is a Protein Coding gene. Diseases associated with C9orf172 include malaria.	empty	same
C9orf156	empty	C9orf156 (Chromosome 9 Open Reading Frame 156) is a Protein Coding gene. GO annotations related to this gene include hydrolase activity.	Hydrolyzes acyl-CoA thioesters (in vitro). Has a preference for substrates with medium chain length (C10-C14). Inactive towards substrates with C18 or C20 aliphatic chains. Its physiological substrate is not known.	same
C9orf171	empty	C9orf171 (Chromosome 9 Open Reading Frame 171) is a Protein Coding gene.	empty	same
C9orf173	empty	C9orf173 (Chromosome 9 Open Reading Frame 173) is a Protein Coding gene.	empty	same
C9orf30	empty	MSANTD3 (Myb/SANT-Like DNA-Binding Domain Containing 3) is a Protein Coding gene. GO annotations related to this gene include identical protein binding.	empty	diff
C9orf25	The protein encoded by this gene has homologs that have been identified in mouse, macaque, etc organisms. Multiple alternatively spliced transcript variants that encode different protein isoforms have been described for this gene. [provided by RefSeq, Dec 2010]	FAM219A (Family With Sequence Similarity 219, Member A) is a Protein Coding gene. An important paralog of this gene is FAM219B.	empty	diff
C9orf37	This transcribed locus is thought to be non-coding. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014]	ARRDC1-AS1 (ARRDC1 Antisense RNA 1) is an RNA Gene, and is affiliated with the non-coding RNA class.	empty	diff
C9orf27	empty	LINC00474 (Long Intergenic Non-Protein Coding RNA 474) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C9orf24	This gene encodes a nuclear- or perinuclear-localized protein with no predicted domains or similarity to other known proteins. Expression of this gene is induced during the differentiation of bronchial epithelial cells, and the encoded protein may play a role in ciliogenesis. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Nov 2011]	C9orf24 (Chromosome 9 Open Reading Frame 24) is a Protein Coding gene. GO annotations related to this gene include alpha-tubulin binding.	May play a role in spermatogenesis (By similarity). May be involved in differentiation or function of ciliated cells.	same
C9orf23	This gene encodes a protein that appears to belong to a family of evolutionarily related proteins (DUF78), that may share one or more domains in common. Members of this family are small archaebacterial proteins with no known function. Alternative splicing has been observed at this locus and two variants, both encoding the same protein, have been identified. [provided by RefSeq, Jul 2008]	RPP25L (Ribonuclease P/MRP 25kDa Subunit-Like) is a Protein Coding gene. Among its related pathways are RNA transport and Ribosome biogenesis in eukaryotes. GO annotations related to this gene include nucleic acid binding. An important paralog of this gene is RPP25.	May be a component of ribonuclease P or MRP	diff
C9orf21	empty	AAED1 (AhpC/TSA Antioxidant Enzyme Domain Containing 1) is a Protein Coding gene.	empty	diff
C9orf40	empty	C9orf40 (Chromosome 9 Open Reading Frame 40) is a Protein Coding gene.	empty	same
C9orf3	This gene encodes a member of the M1 zinc aminopeptidase family. The encoded protein is a zinc-dependent metallopeptidase that catalyzes the removal of an amino acid from the amino terminus of a protein or peptide. This protein may play a role in the generation of angiotensin IV. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Oct 2010]	C9orf3 (Chromosome 9 Open Reading Frame 3) is a Protein Coding gene. Diseases associated with C9orf3 include newborn respiratory distress syndrome and right bundle branch block. GO annotations related to this gene include metallopeptidase activity and aminopeptidase activity. An important paralog of this gene is LTA4H.	Aminopeptidases catalyze the hydrolysis of amino acid residues from the N-terminus of peptide or protein substrates. Able to cleave angiotensin III to generate angiotensin IV, a bioactive peptide of the renin-angiotensin pathway. Not able to cleave angiotensin I and angiotensin II. May play a role in the proteolytic processing of bioactive peptides in tissues such as testis and heart.	same
C9orf41	empty	C9orf41 (Chromosome 9 Open Reading Frame 41) is a Protein Coding gene.	empty	same
C9orf44	empty	LINC00475 (Long Intergenic Non-Protein Coding RNA 475) is an RNA Gene, and is affiliated with the lncRNA class.	empty	diff
C9orf43	empty	C9orf43 (Chromosome 9 Open Reading Frame 43) is a Protein Coding gene.	empty	same
C9orf45	empty	MIR600HG (MIR600 Host Gene) is an RNA Gene, and is affiliated with the miRNA class.	empty	diff
C9orf4	empty	empty	empty	same
C9orf46	empty	PLGRKT (Plasminogen Receptor, C-Terminal Lysine Transmembrane Protein) is a Protein Coding gene.	Receptor for plasminogen. Regulates urokinase plasminogen activator-dependent and stimulates tissue-type plasminogen activator-dependent cell surface plasminogen activation. Proposed to be part of a local catecholaminergic cell plasminogen activation system that regulates neuroendocrine prohormone processing. Involved in regulation of inflammatory response; regulates monocyte chemotactic migration and matrix metallproteinase activation, such as of MMP2 and MMP9.	diff
C9orf47	empty	C9orf47 (Chromosome 9 Open Reading Frame 47) is a Protein Coding gene.	empty	same
C9orf53	empty	CDKN2A-AS1 (CDKN2A Antisense RNA 1 (Head To Head)) is an RNA Gene, and is affiliated with the non-coding RNA class.	empty	diff
C9orf70	empty	GLIS3-AS1 (GLIS3 Antisense RNA 1) is an RNA Gene, and is affiliated with the antisense RNA class.	empty	diff
C9orf57	empty	C9orf57 (Chromosome 9 Open Reading Frame 57) is a Protein Coding gene.	empty	same
C9orf69	empty	C9orf69 (Chromosome 9 Open Reading Frame 69) is a Protein Coding gene. GO annotations related to this gene include GTP binding.	Plays a role in cell proliferation by promoting progression into S phase. Promotes human herpesvirus 1 (HHV-1) proliferation.	same
C9orf64	empty	C9orf64 (Chromosome 9 Open Reading Frame 64) is a Protein Coding gene.	empty	same
C9orf66	empty	C9orf66 (Chromosome 9 Open Reading Frame 66) is a Protein Coding gene.	empty	same
C9orf50	empty	C9orf50 (Chromosome 9 Open Reading Frame 50) is a Protein Coding gene.	empty	same
C9orf68	empty	SPATA6L (Spermatogenesis Associated 6-Like) is a Protein Coding gene. An important paralog of this gene is SPATA6.	empty	diff
C9orf72	The protein encoded by this gene plays an important role in the regulation of endosomal trafficking, and has been shown to interact with Rab proteins that are involved in autophagy and endocytic transport. Expansion of a hexanucleotide repeat in non-coding sequence between alternate 5' exons in transcripts from this gene is associated with 9p-linked ALS (amyotrophic lateral sclerosis) and FTD (frontotemporal dementia) (PMID: 21944778, 21944779). Studies suggest that hexanucleotide expansions could result in the selective stabilization of repeat-containing pre-mRNA, and the accumulation of insoluble dipeptide repeat protein aggregates that could be pathogenic in FTD-ALS patients (PMID: 23393093). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Feb 2015]	C9orf72 (Chromosome 9 Open Reading Frame 72) is a Protein Coding gene. Diseases associated with C9orf72 include amyotrophic lateral sclerosis and/or frontotemporal dementia and c9orf72-related amyotrophic lateral sclerosis and frontotemporal dementia.	May play a role in endosomal trafficking and autophagy.	same
C9orf5	empty	TMEM245 (Transmembrane Protein 245) is a Protein Coding gene.	empty	diff
C9orf71	empty	TMEM252 (Transmembrane Protein 252) is a Protein Coding gene.	empty	diff
C9orf78	empty	C9orf78 (Chromosome 9 Open Reading Frame 78) is a Protein Coding gene. Diseases associated with C9orf78 include hepatocellular carcinoma.	empty	same
C9orf6	empty	FAM206A (Family With Sequence Similarity 206, Member A) is a Protein Coding gene.	empty	diff
C9orf7	empty	CACFD1 (Calcium Channel Flower Domain Containing 1) is a Protein Coding gene. GO annotations related to this gene include calcium channel activity.	empty	diff
C9orf82	empty	CAAP1 (Caspase Activity And Apoptosis Inhibitor 1) is a Protein Coding gene.	Anti-apoptotic protein that modulates a caspase-10 dependent mitochondrial caspase-3/9 feedback amplification loop.	diff
C9orf80	SOSSC is a subunit of single-stranded DNA (ssDNA)-binding complexes involved in the maintenance of genome stability (Huang et al., 2009) [PubMed 19683501].[supplied by OMIM, Feb 2010]	INIP (INTS3 And NABP Interacting Protein) is a Protein Coding gene.	Component of the SOSS complex, a multiprotein complex that functions downstream of the MRN complex to promote DNA repair and G2/M checkpoint. The SOSS complex associates with single-stranded DNA at DNA lesions and influences diverse endpoints in the cellular DNA damage response including cell-cycle checkpoint activation, recombinational repair and maintenance of genomic stability. Required for efficient homologous recombination-dependent repair of double-strand breaks (DSBs) and ATM-dependent signaling pathways.	diff
C9orf86	This gene encodes a member of the Ras superfamily of small GTPases. The encoded protein binds to both GTP and GDP and may play a role in cell growth and survival. Overexpression of this gene may play a role in breast cancer tumorigenesis, and pseudogenes of this gene are located on the long arm of chromosome 2 and the short arm of chromosome 18. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2011]	RABL6 (RAB, Member RAS Oncogene Family-Like 6) is a Protein Coding gene. Diseases associated with RABL6 include breast cancer. GO annotations related to this gene include GTP binding.	May enhance cellular proliferation. May reduce growth inhibitory activity of CDKN2A.	diff
C9orf96	empty	STKLD1 (Serine/Threonine Kinase-Like Domain Containing 1) is a Protein Coding gene.	empty	diff
C9orf95	Nicotinamide adenine dinucleotide (NAD+) is essential for life in all organisms, both as a coenzyme for oxidoreductases and as a source of ADP-ribosyl groups used in various reactions. Nicotinic acid and nicotinamide, collectively known as niacin, are the vitamin precursors of NAD+. Nicotinamide riboside kinases, such as NRK1, function to synthesize NAD+ through nicotinamide mononucleotide using nicotinamide riboside as the precursor (Bieganowski and Brenner, 2004 [PubMed 15137942]).[supplied by OMIM, Mar 2008]	NMRK1 (Nicotinamide Riboside Kinase 1) is a Protein Coding gene. Among its related pathways are Nicotinate and nicotinamide metabolism and Nicotinate and nicotinamide metabolism. GO annotations related to this gene include uridine kinase activity and ribosylnicotinamide kinase activity. An important paralog of this gene is NMRK2.	Catalyzes the phosphorylation of nicotinamide riboside (NR) and nicotinic acid riboside (NaR) to form nicotinamide mononucleotide (NMN) and nicotinic acid mononucleotide (NaMN). The enzyme also phosphorylates the antitumor drugs tiazofurin and 3-deazaguanosine.	diff
C9orf79	empty	SPATA31E1 (SPATA31 Subfamily E, Member 1) is a Protein Coding gene. An important paralog of this gene is SPATA31A1.	May play a role in spermatogenesis.	diff
C9orf93	empty	CCDC171 (Coiled-Coil Domain Containing 171) is a Protein Coding gene.	empty	diff
C9orf98	empty	AK8 (Adenylate Kinase 8) is a Protein Coding gene. Among its related pathways are purine nucleotide salvage and purine nucleotide salvage. GO annotations related to this gene include nucleoside diphosphate kinase activity and cytidylate kinase activity. An important paralog of this gene is AK3.	Nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Has highest activity toward AMP, and weaker activity toward dAMP, CMP and dCMP. Also displays broad nucleoside diphosphate kinase activity.	diff
C9orf9	empty	C9orf9 (Chromosome 9 Open Reading Frame 9) is a Protein Coding gene. Diseases associated with C9orf9 include transitional cell carcinoma.	empty	same
